t, dzdt2, dzdt, z, u
0.000,9.807,-0.010,110.000,-112.635
0.001,122.442,-0.132,110.000,-106.445
0.002,116.252,-0.249,110.000,-106.699
0.003,116.505,-0.365,109.999,-106.629
0.004,116.435,-0.481,109.999,-106.574
0.005,116.381,-0.598,109.998,-106.517
0.006,116.324,-0.714,109.997,-106.460
0.007,116.266,-0.830,109.997,-106.401
0.008,116.208,-0.947,109.996,-106.342
0.009,116.148,-1.063,109.995,-106.281
0.010,116.088,-1.179,109.993,-106.220
0.011,116.027,-1.295,109.992,-106.158
0.012,115.964,-1.411,109.991,-106.094
0.013,115.901,-1.527,109.989,-106.030
0.014,115.837,-1.643,109.988,-105.965
0.015,115.771,-1.758,109.986,-105.899
0.016,115.705,-1.874,109.984,-105.831
0.017,115.638,-1.990,109.982,-105.763
0.018,115.570,-2.105,109.980,-105.694
0.019,115.501,-2.221,109.978,-105.624
0.020,115.431,-2.336,109.975,-105.553
0.021,115.360,-2.452,109.973,-105.481
0.022,115.288,-2.567,109.970,-105.409
0.023,115.215,-2.682,109.968,-105.335
0.024,115.141,-2.797,109.965,-105.260
0.025,115.067,-2.912,109.962,-105.184
0.026,114.991,-3.027,109.959,-105.108
0.027,114.914,-3.142,109.956,-105.030
0.028,114.837,-3.257,109.952,-104.952
0.029,114.758,-3.372,109.949,-104.872
0.030,114.679,-3.486,109.946,-104.792
0.031,114.599,-3.601,109.942,-104.711
0.032,114.517,-3.716,109.938,-104.628
0.033,114.435,-3.830,109.934,-104.545
0.034,114.352,-3.944,109.930,-104.461
0.035,114.268,-4.059,109.926,-104.376
0.036,114.183,-4.173,109.922,-104.290
0.037,114.097,-4.287,109.918,-104.203
0.038,114.010,-4.401,109.914,-104.115
0.039,113.922,-4.515,109.909,-104.026
0.040,113.833,-4.629,109.904,-103.937
0.041,113.743,-4.742,109.900,-103.846
0.042,113.653,-4.856,109.895,-103.755
0.043,113.561,-4.970,109.890,-103.662
0.044,113.469,-5.083,109.885,-103.569
0.045,113.375,-5.196,109.880,-103.474
0.046,113.281,-5.310,109.874,-103.379
0.047,113.186,-5.423,109.869,-103.283
0.048,113.090,-5.536,109.863,-103.186
0.049,112.993,-5.649,109.858,-103.088
0.050,112.895,-5.762,109.852,-102.989
0.051,112.796,-5.875,109.846,-102.889
0.052,112.696,-5.987,109.840,-102.789
0.053,112.595,-6.100,109.834,-102.687
0.054,112.494,-6.212,109.828,-102.584
0.055,112.391,-6.325,109.821,-102.481
0.056,112.288,-6.437,109.815,-102.377
0.057,112.183,-6.549,109.808,-102.271
0.058,112.078,-6.661,109.802,-102.165
0.059,111.972,-6.773,109.795,-102.058
0.060,111.865,-6.885,109.788,-101.950
0.061,111.757,-6.997,109.781,-101.842
0.062,111.648,-7.109,109.774,-101.732
0.063,111.538,-7.220,109.767,-101.621
0.064,111.428,-7.332,109.759,-101.510
0.065,111.316,-7.443,109.752,-101.397
0.066,111.204,-7.554,109.744,-101.284
0.067,111.091,-7.665,109.737,-101.170
0.068,110.976,-7.776,109.729,-101.055
0.069,110.861,-7.887,109.721,-100.939
0.070,110.745,-7.998,109.713,-100.815
0.071,110.621,-8.108,109.705,-100.567
0.072,110.373,-8.219,109.697,-100.324
0.073,110.131,-8.329,109.688,-100.081
0.074,109.888,-8.439,109.680,-99.838
0.075,109.644,-8.548,109.671,-99.594
0.076,109.401,-8.658,109.663,-99.350
0.077,109.156,-8.767,109.654,-99.105
0.078,108.912,-8.876,109.645,-98.860
0.079,108.667,-8.985,109.636,-98.615
0.080,108.422,-9.093,109.627,-98.369
0.081,108.176,-9.201,109.618,-98.123
0.082,107.930,-9.309,109.609,-97.877
0.083,107.683,-9.417,109.599,-97.630
0.084,107.437,-9.524,109.590,-97.383
0.085,107.190,-9.631,109.580,-97.135
0.086,106.942,-9.738,109.570,-96.888
0.087,106.694,-9.845,109.560,-96.640
0.088,106.446,-9.952,109.550,-96.391
0.089,106.198,-10.058,109.540,-96.142
0.090,105.949,-10.164,109.530,-95.893
0.091,105.700,-10.269,109.520,-95.643
0.092,105.450,-10.375,109.510,-95.394
0.093,105.200,-10.480,109.499,-95.143
0.094,104.950,-10.585,109.489,-94.893
0.095,104.699,-10.690,109.478,-94.642
0.096,104.449,-10.794,109.467,-94.391
0.097,104.197,-10.898,109.456,-94.139
0.098,103.946,-11.002,109.445,-93.887
0.099,103.694,-11.106,109.434,-93.635
0.100,103.442,-11.209,109.423,-93.383
0.101,103.189,-11.313,109.412,-93.130
0.102,102.937,-11.416,109.400,-92.877
0.103,102.683,-11.518,109.389,-92.623
0.104,102.430,-11.621,109.377,-92.370
0.105,102.176,-11.723,109.365,-92.116
0.106,101.922,-11.825,109.353,-91.861
0.107,101.668,-11.926,109.341,-91.607
0.108,101.413,-12.028,109.329,-91.352
0.109,101.158,-12.129,109.317,-91.096
0.110,100.903,-12.230,109.305,-90.841
0.111,100.648,-12.331,109.293,-90.585
0.112,100.392,-12.431,109.280,-90.329
0.113,100.136,-12.531,109.268,-90.072
0.114,99.879,-12.631,109.255,-89.816
0.115,99.622,-12.731,109.242,-89.559
0.116,99.365,-12.830,109.230,-89.302
0.117,99.108,-12.929,109.217,-89.044
0.118,98.851,-13.028,109.204,-88.786
0.119,98.593,-13.126,109.191,-88.528
0.120,98.335,-13.225,109.177,-88.270
0.121,98.076,-13.323,109.164,-88.011
0.122,97.818,-13.421,109.151,-87.752
0.123,97.559,-13.518,109.137,-87.493
0.124,97.300,-13.616,109.123,-87.234
0.125,97.040,-13.713,109.110,-86.974
0.126,96.781,-13.809,109.096,-86.714
0.127,96.521,-13.906,109.082,-86.454
0.128,96.260,-14.002,109.068,-86.193
0.129,96.000,-14.098,109.054,-85.933
0.130,95.739,-14.194,109.040,-85.672
0.131,95.478,-14.289,109.025,-85.410
0.132,95.217,-14.385,109.011,-85.149
0.133,94.956,-14.480,108.997,-84.887
0.134,94.694,-14.574,108.982,-84.625
0.135,94.432,-14.669,108.967,-84.363
0.136,94.170,-14.763,108.953,-84.101
0.137,93.907,-14.857,108.938,-83.838
0.138,93.645,-14.950,108.923,-83.575
0.139,93.382,-15.044,108.908,-83.312
0.140,93.119,-15.137,108.893,-83.049
0.141,92.855,-15.230,108.877,-82.785
0.142,92.592,-15.322,108.862,-82.521
0.143,92.328,-15.415,108.847,-82.257
0.144,92.064,-15.507,108.831,-81.993
0.145,91.800,-15.599,108.815,-81.729
0.146,91.535,-15.690,108.800,-81.464
0.147,91.271,-15.781,108.784,-81.199
0.148,91.006,-15.872,108.768,-80.934
0.149,90.741,-15.963,108.752,-80.669
0.150,90.476,-16.054,108.736,-80.403
0.151,90.210,-16.144,108.720,-80.138
