t, dzdt2, dzdt, z, u
0.000,9.807,-0.010,50.000,7.525
0.001,2.282,-0.012,50.000,7.655
0.002,2.151,-0.014,50.000,7.663
0.003,2.144,-0.016,50.000,7.676
0.004,2.130,-0.019,50.000,7.690
0.005,2.117,-0.021,50.000,7.703
0.006,2.104,-0.023,50.000,7.716
0.007,2.091,-0.025,50.000,7.729
0.008,2.077,-0.027,50.000,7.743
0.009,2.064,-0.029,50.000,7.756
0.010,2.051,-0.031,50.000,7.769
0.011,2.038,-0.033,50.000,7.782
0.012,2.024,-0.035,50.000,7.795
0.013,2.011,-0.037,50.000,7.809
0.014,1.998,-0.039,50.000,7.822
0.015,1.985,-0.041,50.000,7.835
0.016,1.972,-0.043,50.000,7.848
0.017,1.958,-0.045,50.000,7.861
0.018,1.945,-0.047,49.999,7.875
0.019,1.932,-0.049,49.999,7.888
0.020,1.919,-0.051,49.999,7.901
0.021,1.906,-0.053,49.999,7.914
0.022,1.892,-0.055,49.999,7.927
0.023,1.879,-0.056,49.999,7.941
0.024,1.866,-0.058,49.999,7.954
0.025,1.853,-0.060,49.999,7.967
0.026,1.840,-0.062,49.999,7.980
0.027,1.827,-0.064,49.999,7.993
0.028,1.813,-0.066,49.999,8.006
0.029,1.800,-0.067,49.999,8.020
0.030,1.787,-0.069,49.999,8.033
0.031,1.774,-0.071,49.999,8.046
0.032,1.761,-0.073,49.999,8.059
0.033,1.748,-0.075,49.999,8.072
0.034,1.735,-0.076,49.998,8.085
0.035,1.721,-0.078,49.998,8.098
0.036,1.708,-0.080,49.998,8.111
0.037,1.695,-0.081,49.998,8.124
0.038,1.682,-0.083,49.998,8.138
0.039,1.669,-0.085,49.998,8.151
0.040,1.656,-0.086,49.998,8.164
0.041,1.643,-0.088,49.998,8.177
0.042,1.630,-0.090,49.998,8.190
0.043,1.617,-0.091,49.998,8.203
0.044,1.604,-0.093,49.998,8.216
0.045,1.591,-0.094,49.997,8.229
0.046,1.578,-0.096,49.997,8.242
0.047,1.565,-0.098,49.997,8.255
0.048,1.551,-0.099,49.997,8.268
0.049,1.538,-0.101,49.997,8.281
0.050,1.525,-0.102,49.997,8.294
0.051,1.512,-0.104,49.997,8.307
0.052,1.499,-0.105,49.997,8.320
0.053,1.486,-0.107,49.997,8.333
0.054,1.473,-0.108,49.997,8.346
0.055,1.460,-0.110,49.996,8.359
0.056,1.447,-0.111,49.996,8.372
0.057,1.434,-0.113,49.996,8.385
0.058,1.421,-0.114,49.996,8.398
0.059,1.408,-0.115,49.996,8.411
